glacier_id;utm_zone;utm_east3;utm_north4;altitude5;location_description;location_id;stake_no;altitude;utm_east;utm_north;balance_winter;balance_summer;balance_netto;dt_prev_year_min_date;dt_curr_year_max_date;dt_curr_year_min_date;stake_remark;flag_correction
54;34;529400;7780050;500;Nederst på bretunga;L10;L1012;471;529480;7780100;1.32;-6.24;-4.92;25.09.2012 00:00;14.05.2013 00:00;07.11.2013 00:00;;netto
54;34;529400;7780050;500;Nederst på bretunga;L10;L1013;439;529453;7780088;1.68;-4.35;-2.67;07.11.2013 00:00;09.05.2014 00:00;24.09.2014 00:00;;
54;34;529400;7780050;500;Nederst på bretunga;L10;L1013;444;529438;7780082;0.76;-4.17;-3.41;24.09.2014 00:00;08.05.2015 00:00;23.09.2015 00:00;;
54;34;529400;7780050;500;Nederst på bretunga;L10;L1013;444;529438;7780082;0.78;-4.37;-3.59;23.09.2015 00:00;23.05.2016 00:00;22.09.2016 00:00;Snødyp ut fra stakemålingene (0.65 m) virker ikke pålitelig. Bruker derfor sondert snødyp.;netto
54;34;529400;7780050;500;Nederst på bretunga;L10;L1016;468;529348;7780059;1.59;-4.05;-2.46;22.09.2016 00:00;25.04.2017 00:00;29.09.2017 00:00;Sondert snødyp.;
54;34;529400;7780050;500;Nederst på bretunga;L10;L1016;475;529320;7780052;0.95;-5.31;-4.37;29.09.2017 00:00;10.05.2018 00:00;12.10.2018 00:00;Staken var smeltet ut i oktober, og stakelengden den 12/10 er derfor estimert.;
54;34;529400;7780050;500;Nederst på bretunga;L10;L1019;412;529585;7780130;1.25;-4.72;-3.47;12.10.2018 00:00;23.05.2019 00:00;27.09.2019 00:00;Stakeposisjonen er flyttet 275 m nedover breen.;
54;34;529400;7780050;500;Nederst på bretunga;L10;L1019;412;529580;7780125;1.8;-5.53;-3.74;27.09.2019 00:00;26.05.2020 00:00;29.09.2020 00:00;Sondert snødyp. Staken var utsmeltet i august, estimerte stakehøyden.;
54;34;529400;7780050;500;Nederst på bretunga;L10;L1020;413;529580;7780120;1.05;-4.38;-3.33;29.09.2020 00:00;04.05.2021 00:00;18.09.2021 00:00;Sondert snødyp. Staken var utsmeltet i august, stakelengde 18/9 ble estimert.;
54;34;529400;7780050;500;Nederst på bretunga;L10;L1089;400;530060;7780060;1;;;;24.05.1989 00:00;;;
