Year;RGIID;BREID;DateMinPrevYear;DateMax;DateMin;Area;Bw;Bs;Ba;Bcalv
1978;NA;26;;01.05.1978;01.10.1978;2.73;2.30;-2.40;-0.10;
1979;NA;26;01.10.1978;01.05.1979;;2.73;2.10;NA;NA;
1989;RGI60-08.01258;54;;24.05.1989;19.10.1989;3.621;2.38;-2.98;-0.60;
1990;RGI60-08.01258;54;19.10.1989;24.05.1990;05.09.1990;3.621;2.60;-2.98;-0.38;
1991;RGI60-08.01258;54;05.09.1990;14.05.1991;04.10.1991;3.621;2.25;-2.29;-0.04;
1992;RGI60-08.01258;54;04.10.1991;03.06.1992;22.09.1992;3.621;2.58;-2.37;0.22;
1993;RGI60-08.01258;54;22.09.1992;15.05.1993;22.09.1993;3.621;2.49;-2.34;0.15;
1996;RGI60-08.01258;54;;24.05.1996;16.10.1996;3.621;2.23;-2.24;-0.01;
1997;RGI60-08.01258;54;16.10.1996;10.06.1997;02.10.1997;3.621;2.76;-3.43;-0.66;
1998;RGI60-08.01258;54;02.10.1997;02.06.1998;01.10.1998;3.621;1.80;-3.27;-1.47;
1999;RGI60-08.01258;54;01.10.1998;25.05.1999;25.09.1999;3.621;1.33;-3.02;-1.68;
2000;RGI60-08.01258;54;25.09.1999;23.05.2000;11.10.2000;3.621;2.53;-3.05;-0.52;
2001;RGI60-08.01258;54;11.10.2000;06.06.2001;07.10.2001;3.621;1.46;-3.64;-2.18;
2002;RGI60-08.01258;54;07.10.2001;24.05.2002;12.10.2002;3.216;2.36;-3.67;-1.31;
2003;RGI60-08.01258;54;02.10.2002;24.05.2003;02.10.2003;3.216;2.44;-3.39;-0.95;
2004;RGI60-08.01258;54;02.10.2003;29.04.2004;04.10.2004;3.216;1.81;-3.50;-1.69;
2005;RGI60-08.01258;54;04.10.2004;26.05.2005;26.10.2005;3.216;1.95;-2.97;-1.02;
2006;RGI60-08.01258;54;26.10.2005;25.04.2006;06.10.2006;3.216;1.39;-3.59;-2.20;
2007;RGI60-08.01258;54;06.10.2006;22.05.2007;03.11.2007;3.216;2.15;-2.79;-0.64;
2008;RGI60-08.01258;54;03.11.2007;22.05.2008;16.10.2008;3.216;1.58;-2.01;-0.43;
2009;RGI60-08.01258;54;16.10.2008;07.05.2009;07.10.2009;3.216;1.93;-3.25;-1.31;
2010;RGI60-08.01258;54;07.10.2009;19.05.2010;23.09.2010;3.216;1.89;-2.64;-0.75;
2011;RGI60-08.01258;54;23.09.2010;11.05.2011;20.09.2011;3.216;2.30;-3.55;-1.26;
2012;RGI60-08.01258;54;20.09.2011;19.04.2012;25.09.2012;3.216;1.37;-2.13;-0.76;
2013;RGI60-08.01258;54;25.09.2012;14.05.2013;07.11.2013;3.216;2.08;-4.69;-2.62;
2014;RGI60-08.01258;54;07.11.2013;09.05.2014;24.09.2014;2.607;2.39;-2.95;-0.56;
2015;RGI60-08.01258;54;24.09.2014;08.05.2015;23.09.2015;2.607;1.92;-2.57;-0.65;
