year,Ba,Bw,Bs,RGIID
1961,-1.1805838775064323,2.169183822470539,-3.349767699976972,RGI60-08.00287
1962,-0.2103092623641873,1.5553072479106573,-1.7656165102748447,RGI60-08.00287
1963,-0.5276442266675064,3.2225075439632995,-3.750151770630806,RGI60-08.00287
1964,2.180275893185982,3.583699392361644,-1.403423499175662,RGI60-08.00287
1965,0.42409059706309726,2.985544568660591,-2.561453971597494,RGI60-08.00287
1966,-0.39748787792507156,1.4823269734116191,-1.8798148513366906,RGI60-08.00287
1967,-0.26699910169099195,2.2753390310335457,-2.5423381327245376,RGI60-08.00287
1968,0.7079343678823755,2.5634127018707877,-1.8554783339884127,RGI60-08.00287
1969,-1.5590351675911716,1.894071200487657,-3.453106368078829,RGI60-08.00287
1970,-1.1479988662821705,1.9304846082321294,-3.0784834745143006,RGI60-08.00287
1971,0.7505819840607657,2.5452163778457204,-1.7946343937849545,RGI60-08.00287
1972,-0.3567206560503031,2.853659655931168,-3.2103803119814707,RGI60-08.00287
1973,1.7896862218537053,4.106572053117826,-2.3168858312641207,RGI60-08.00287
1974,-0.4210749176754466,3.1361284463580024,-3.557203364033449,RGI60-08.00287
1975,1.6308436764893122,2.3161658407240386,-0.6853221642347268,RGI60-08.00287
1976,1.9930333303233478,3.76455895452868,-1.7715256242053325,RGI60-08.00287
1977,0.49179489304184615,1.8209301949219552,-1.329135301880109,RGI60-08.00287
1978,-0.771894884640352,2.08501030199119,-2.8569051866315416,RGI60-08.00287
1979,0.523371164604447,2.770757808182445,-2.247386643577998,RGI60-08.00287
1980,-1.6811919813268328,2.065634998611058,-3.746826979937891,RGI60-08.00287
1981,0.9545499226592812,2.8984155080731595,-1.9438655854138784,RGI60-08.00287
1982,1.1986386004246965,2.5533620425677275,-1.3547234421430305,RGI60-08.00287
1983,0.18938597704745386,2.3686092905083447,-2.1792233134608914,RGI60-08.00287
1984,0.5899444852607999,3.1978101990285266,-2.6078657137677266,RGI60-08.00287
1985,-0.7823827929485039,1.6814760216042108,-2.463858814552715,RGI60-08.00287
1986,0.22648588112242257,2.4653532695645954,-2.2388673884421726,RGI60-08.00287
1987,0.6830753227971611,2.45594391177619,-1.772868588979029,RGI60-08.00287
1988,-1.3510398788788818,1.9581250171953464,-3.3091648960742286,RGI60-08.00287
1989,2.1726934905927946,4.173617439541502,-2.0009239489487083,RGI60-08.00287
1990,0.4791384589718635,3.592807345593643,-3.1136688866217797,RGI60-08.00287
1991,0.6998129986124306,2.8215978059286893,-2.121784807316258,RGI60-08.00287
1992,1.237640528229187,3.9578635739592167,-2.7202230457300294,RGI60-08.00287
1993,1.477626567795259,3.476053397031996,-1.998426829236737,RGI60-08.00287
1994,-0.2458607807384318,1.8712002119963538,-2.1170609927347854,RGI60-08.00287
1995,1.6224864056766992,3.603430357573722,-1.9809439518970229,RGI60-08.00287
1996,0.273306418013515,2.853157045783688,-2.5798506277701727,RGI60-08.00287
1997,0.3455600267362905,4.0174818957667044,-3.671921869030414,RGI60-08.00287
1998,-0.25375380105190953,2.638732431590349,-2.8924862326422587,RGI60-08.00287
1999,-0.6460038159639637,2.2027052710485617,-2.8487090870125256,RGI60-08.00287
2000,1.3653220104568775,3.5594102940724577,-2.19408828361558,RGI60-08.00287
2001,-1.4010950528532748,1.3969687324602025,-2.7980637853134773,RGI60-08.00287
2002,-0.7055276988317878,3.282345754636315,-3.987873453468103,RGI60-08.00287
2003,-1.191869833440757,2.10616869353185,-3.298038526972607,RGI60-08.00287
2004,-0.4044256936879973,2.4870928228241773,-2.891518516512174,RGI60-08.00287
2005,0.01279984627364382,2.713928253397964,-2.7011284071243202,RGI60-08.00287
2006,-1.2799116538808644,2.5137098223065193,-3.7936214761873837,RGI60-08.00287
2007,0.5551700273604814,3.323955467813752,-2.76878544045327,RGI60-08.00287
2008,-0.0725883698986339,2.703949148573403,-2.7765375184720367,RGI60-08.00287
2009,-0.5016141321504111,2.742920590700561,-3.244534722850972,RGI60-08.00287
2010,-0.5509825354609799,2.044613839507436,-2.595596374968416,RGI60-08.00287
2011,-0.7024829739004096,3.116403415136853,-3.8188863890372624,RGI60-08.00287
2012,1.045680448328774,2.9835401578869725,-1.937859709558198,RGI60-08.00287
2013,-1.8307380588432505,2.203483612408512,-4.034221671251762,RGI60-08.00287
2014,-0.8074918691881259,2.880130021909643,-3.687621891097769,RGI60-08.00287
2015,0.009310109387274945,2.9361767481316896,-2.926866638744414,RGI60-08.00287
2016,-0.3833512455126762,3.0406985618062876,-3.424049807318964,RGI60-08.00287
2017,0.24017826337086046,3.483527950396676,-3.243349687025816,RGI60-08.00287
2018,-1.3045172199794373,2.4709470864119343,-3.7754643063913718,RGI60-08.00287
2019,-0.08003144583206942,2.9918629702115607,-3.07189441604363,RGI60-08.00287
1961,-1.193818788291931,2.1293492636420845,-3.3231680519340157,RGI60-08.00295
1962,-0.11881828446795029,1.8707325912722816,-1.9895508757402318,RGI60-08.00295
1963,-0.43979198875640524,3.10574870820672,-3.5455406969631253,RGI60-08.00295
1964,1.742768220465804,3.0841842726316893,-1.3414160521658853,RGI60-08.00295
